year,date_start,date_end,event_id,title,city,area,category,confidence,citywide_relevance,summary,observed_change,limitations,source_ids,source_titles,source_buckets
2016,2016-08-19,,lon_city_2016_night_tube,Night Tube starts operating,london,london_wide,transport,candidate_requires_row_validation,True,Night Tube weekend service begins on parts of the Underground network.,Extended late-night mobility and shifted travel-time/access conditions for nightlife and shift-work trips.,Validate exact phased launch dates by line from TfL historical releases.,lon_public_transport_journeys|lon_tfl_unified_api,Public Transport Journeys by Type of Transport | TfL Unified API lines and stop points,transport_mobility
2018,2018-05-01,,lon_stratford_2018_hackney_wick_station,Hackney Wick station redevelopment opens,london,stratford_olympic_park,transport,candidate_requires_row_validation,False,Station upgrade near the western edge of the Olympic Park improved access and interchange/public realm.,Transport/public realm improvement supporting Hackney Wick/Olympic Park access.,Month-level seed; verify exact opening from TfL/Network Rail.,lon_tfl_open_data,TfL Open Data portal,transport_mobility
2019,2019-01-01,,lon_stratford_2019_east_wick_sweetwater_start,East Wick and Sweetwater neighbourhood delivery starts,london,stratford_olympic_park,housing_completion,candidate_requires_row_validation,False,Residential neighbourhood phases on the Olympic Park moved into delivery.,Housing pipeline/completion phase for Olympic legacy neighbourhoods.,Use PLD/LLDC application IDs and completion records for final dates/unit counts.,lon_pld_api|lon_lldc_planning_register,Planning London Datahub public guest API | LLDC planning register,planning_development
2019,2019-04-08,,lon_city_2019_ulez_start,Ultra Low Emission Zone begins in central London,london,central_london,environment_policy,documented,True,ULEZ charging policy begins in central London.,Changed vehicle composition and traffic-related air-quality policy context.,Need final policy documentation and boundary versioning for rigorous time-series analysis.,lon_london_air_api|lon_laei|lon_congestion_charge_camera_captures,London Air Quality Network API | London Atmospheric Emissions Inventory (LAEI) | Camera Captures and Confirmed Vehicles seen in the Congestion Charge Zone by Month,environment_air_quality|transport_mobility
2020,2020-07-01,,lon_stratford_2020_lldc_revised_local_plan,Revised LLDC Local Plan adopted,london,stratford_olympic_park,policy_governance,documented,False,LLDC adopted/replaced its local plan for continuing legacy-area planning.,Updated policy framework for the Olympic legacy area.,Month-level date; final card should use exact adoption date.,lon_lldc_local_plan,LLDC Local Plan,policy_governance
2021,2021-10-25,,lon_stratford_2021_ulez_inner_expansion,ULEZ expands to the North and South Circular roads,london,stratford,environmental_policy,documented,False,Ultra Low Emission Zone expanded from central London to the North/South Circular boundary.,"Air-quality/traffic-emissions policy context affecting inner London travel, including areas west/south of Stratford depending boundary.",Boundary relation to specific site must be computed; do not claim local air-quality causation.,lon_tfl_open_data|lon_london_air_api,TfL Open Data portal | London Air Quality Network API,environment_air_quality|transport_mobility
2022,2022-05-24,,lon_city_2022_elizabeth_line,Elizabeth line opens,london,london_wide,transport,documented,True,"Central Elizabeth line services begin, materially changing travel times and network connectivity across London.",Major rail-capacity and accessibility change with strong effects on journey patterns and station catchments.,Use TfL/Crossrail official opening record for final citation.,lon_public_transport_journeys|lon_tfl_unified_api|lon_tfl_rods,Public Transport Journeys by Type of Transport | TfL Unified API lines and stop points | TfL Rolling Origin and Destination Survey,transport_mobility
2022,2022-05-24,,lon_stratford_2022_elizabeth_line,"Elizabeth line opens, with Stratford on the eastern branch",london,stratford,transport,documented,False,"Elizabeth line service launched; Stratford became part of the branded Elizabeth line network, with through-running later in 2022.",Major east-west rail connectivity layer added/rebranded for Stratford.,Distinguish initial opening from later through-running timetable changes.,lon_tfl_unified_api|lon_tfl_open_data,TfL Unified API lines and stop points | TfL Open Data portal,transport_mobility
2023,2023-08-29,,lon_city_2023_ulez_expansion,ULEZ expands London-wide,london,greater_london,environment_policy,documented,True,ULEZ expands across all London boroughs.,Changed citywide vehicle-policy incentives and widened the area where traffic and air-quality indicators should be monitored.,Final build should attach exact expanded boundary geometry and pre/post analysis windows.,lon_london_air_api|lon_dft_traffic_flows_borough,"London Air Quality Network API | Traffic Flows, Borough",environment_air_quality|transport_mobility
2023,2023-08-29,,lon_stratford_2023_ulez_all_london,ULEZ expands to all London boroughs,london,greater_london,environmental_policy,documented,True,Ultra Low Emission Zone expanded London-wide.,"Environmental transport policy applies across Greater London, including Stratford/Newham.",Policy boundary event; air-quality effects require monitor/indicator caveats.,lon_tfl_open_data|lon_london_air_api,TfL Open Data portal | London Air Quality Network API,environment_air_quality|transport_mobility
