year,date_start,date_end,event_id,title,city,area,category,confidence,citywide_relevance,summary,observed_change,limitations,source_ids,source_titles,source_buckets
2019,2019-01-01,,nyc_hy_2019_15_hudson_yards_completion,15 Hudson Yards residential tower opens/completes,new_york,hudson_yards_west_chelsea,housing_completion,candidate_requires_row_validation,False,Residential tower at 15 Hudson Yards entered completion/occupancy period.,New high-density residential units delivered on Eastern Rail Yard.,Year-level seed; use DOB CO/HPD/PLUTO fields for final completion/unit counts.,nyc_hgx4-8ukb|nyc_pkdm-hqz6,Zoning Application Portal (ZAP) - Project Data | DOB NOW: Certificate of Occupancy,planning_development
2019,2019-03-15,,nyc_city_2019_hudson_yards_phase1_open,Hudson Yards Phase 1 opens to the public,new_york,manhattan_west_side,building_opening,documented,True,"The first phase of Hudson Yards opens, adding major office, retail, and public-space capacity.","Large built-environment addition with implications for footfall, transit demand, and local traffic.",Building-by-building occupancy and completion dates should be validated with certificates and project records.,nyc_hudson_yards_official|nyc_bs8b-p36w|nyc_pkdm-hqz6,Hudson Yards official project site | DOB Certificate Of Occupancy | DOB NOW: Certificate of Occupancy,planning_development|policy_governance
2019,2019-03-15,,nyc_hy_2019_phase1_public_opening,Hudson Yards Phase 1 opens to the public,new_york,hudson_yards_west_chelsea,completion_opening,documented,False,"Eastern Yard public opening included shops, restaurants, public square/gardens and Vessel.",Major mixed-use district becomes publicly accessible.,Private source needs city/planning corroboration for final evidence drawer.,nyc_hudson_yards_official|nyc_enfh-gkve,Hudson Yards official project site | Parks Properties,environment_air_quality|policy_governance
2019,2019-03-15,,nyc_hy_2019_vessel_opens,Vessel opens at Hudson Yards,new_york,hudson_yards_west_chelsea,public_realm,documented,False,The Vessel staircase/sculpture opened with Hudson Yards public square.,New privately owned publicly accessible attraction/public-realm feature.,Access has changed after safety closures; current status must be represented separately.,nyc_hudson_yards_official,Hudson Yards official project site,policy_governance
2019,2019-04-05,,nyc_hy_2019_the_shed_opens,The Shed opens,new_york,hudson_yards_west_chelsea,public_service,documented,False,The Shed arts/cultural venue opened at Hudson Yards.,New cultural/civic anchor added to the district.,Final evidence should include The Shed official/source record.,nyc_hudson_yards_official|nyc_ji82-xba5,Hudson Yards official project site | Facilities Database,policy_governance|public_services_civic_assets
2019,2019-10-03,,nyc_city_2019_14th_street_busway,14th Street busway begins,new_york,manhattan,transport_policy,candidate_requires_row_validation,True,New priority treatment on 14th Street changes through-traffic rules and bus operations.,Material corridor-level change in traffic circulation and bus travel conditions.,Needs official DOT busway source and corridor geometry for final production use.,nyc_i4gi-tjb9|nyc_h9gi-nx95,DOT Traffic Speeds | Motor Vehicle Collisions - Crashes,transport_mobility
2020,2020,,nyc_city_2020_open_streets,Open Streets program expands during the pandemic era,new_york,nyc_wide,street_policy,candidate_requires_row_validation,True,Open Streets and related temporary street reallocations changed access patterns across many NYC corridors.,Shifted street use toward pedestrians and outdoor activity in selected areas.,Should be linked to an official Open Streets dataset or archived city page in a future pass.,nyc_bkfu-528j|nyc_i6b5-j7bu,NYC Permitted Event Information - Historical | Street Closures due to Construction Activities by Block,transport_mobility
2020,2020-03-11,,nyc_hy_2020_edge_opens,Edge observation deck opens,new_york,hudson_yards_west_chelsea,economic_anchor,documented,False,Observation deck opened at 30 Hudson Yards.,Tourism/economic anchor added at Hudson Yards.,Private visitor attraction; avoid implying broader economic effects without indicators.,nyc_hudson_yards_official,Hudson Yards official project site,policy_governance
2021,2021-01-01,,nyc_hy_2021_moynihan_train_hall,Moynihan Train Hall opens,new_york,hudson_yards_west_chelsea,transport,documented,False,New Penn Station/Moynihan Train Hall opened east of Hudson Yards.,Regional rail passenger facility/public realm improves West Side access context.,Source should be Empire State Development/Amtrak/MTA; not solely GTFS.,nyc_mta_static_feeds,MTA developer static data feeds (GTFS),transport_mobility
2021,2021-01-01,,nyc_hy_2021_zap_highline_connection,15 Hudson Yards High Line connection certification completed,new_york,hudson_yards_west_chelsea,planning_development,documented,False,ZAP records include a completed Chair Certification for substantial completion of the High Line connection at 15 Hudson Yards.,Planning/public-realm connection milestone linked to Hudson Yards and High Line.,Date should be pulled from ZAP fields in raw_metadata/nyc_zap_hudson_projects.json during ingestion.,nyc_hgx4-8ukb,Zoning Application Portal (ZAP) - Project Data,planning_development
2021,2021-05-21,,nyc_hy_2021_little_island_opens,Little Island opens at Pier 55,new_york,hudson_yards_west_chelsea,public_realm,documented,False,New Hudson River park pier opened south of West Chelsea/Hudson Yards.,Waterfront public open-space asset added in adjacent West Side corridor.,Adjacent-area event; geometry should show it is south of Hudson Yards core.,nyc_enfh-gkve|nyc_388s-pnvc,Parks Properties | Waterfront Public Access Areas (WPAAs),environment_air_quality|public_services_civic_assets
2022,2022,,nyc_city_2022_current_street_permit_feed,Current street-construction permit feed begins,new_york,nyc_wide,street_work,documented,True,Current DOT street-construction permit dataset provides present-era citywide permit coverage.,"Improves traceability of active roadway work, closures, and probable traffic impacts.",This is a source-era marker rather than a civic event; use as a data-availability anchor.,nyc_tqtj-sjs8|nyc_i6b5-j7bu|nyc_478a-yykk,Street Construction Permits (2022 - Present) | Street Closures due to Construction Activities by Block | Street Closures due to Construction Activities by Intersection,transport_mobility
2022,2022-01-01,,nyc_hy_2022_manhattan_west_public_realm,Manhattan West public-realm/opening phase,new_york,hudson_yards_west_chelsea,completion_opening,candidate_requires_row_validation,False,Manhattan West buildings and public spaces reached major opening/occupation phase near Hudson Yards.,"Adjacent mixed-use district adds offices, retail and public space west of Penn Station.",Adjacent district; validate date/building records before production card.,nyc_64uk-42ks|nyc_pkdm-hqz6,Primary Land Use Tax Lot Output (PLUTO) | DOB NOW: Certificate of Occupancy,basemap_physical_features|planning_development
2023,2023-06-21,,nyc_hy_2023_high_line_moynihan_connector,High Line-Moynihan Connector opens,new_york,hudson_yards_west_chelsea,public_realm,documented,False,Elevated pedestrian connector opened between the High Line area and Moynihan/Penn Station context.,Pedestrian/public-realm link improves west-side access between transit and High Line/Hudson Yards.,Use official ESD/NYC/Friends of High Line source for final evidence.,nyc_388s-pnvc|nyc_hudson_yards_dcp_plan,Waterfront Public Access Areas (WPAAs) | Hudson Yards plan official page,policy_governance|public_services_civic_assets
2024,2024-01-01,,nyc_hy_2024_western_rail_yard_planning,Western Rail Yard planning/review activity continues,new_york,hudson_yards_west_chelsea,planning_development,candidate_requires_row_validation,False,Public planning/review around the remaining Western Rail Yard phase continued.,"Future phase remains planning/proposal context, not completed change.",Do not present as approved/built unless ZAP/ULURP status confirms.,nyc_hgx4-8ukb|nyc_hudson_yards_official,Zoning Application Portal (ZAP) - Project Data | Hudson Yards official project site,planning_development|policy_governance
2026,2026-02-20,,nyc_hy_2026_pluto_current_release,PLUTO 25v4 available for current tax-lot/land-use snapshot,new_york,hudson_yards_west_chelsea,indicator_snapshot,documented,False,NYC Open Data PLUTO current version 25v4 was last updated 2026-02-20 on discovery page.,Current tax-lot land-use/building context can be joined to Hudson Yards/West Chelsea events.,"This is a data-source snapshot event, not a city-change event; use for provenance/compare state.",nyc_64uk-42ks,Primary Land Use Tax Lot Output (PLUTO),basemap_physical_features
