source_id,city,title,publisher,bucket,source_type,access_url,api_url,licence,coverage_start,coverage_end,spatial_granularity,temporal_granularity,retrieved_at,refresh_policy,ingest_priority,known_limitations,raw_metadata_file,notes
tfl-unified-api,london,TfL Unified API,Transport for London,traffic/transport,discovery_catalog_source,https://api.tfl.gov.uk/,"https://api.tfl.gov.uk/Line/Mode/tube,overground,dlr,elizabeth-line/Status ; https://api.tfl.gov.uk/StopPoint ; https://api.tfl.gov.uk/Road","Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Stop/station/route/road corridor; WGS84 points/lines for many assets.,Real-time to daily depending endpoint.,2026-04-28T12:18:46.277789+00:00,,,Most historic data not retained in API; rate limits/app keys for high volume; schemas change.,raw_metadata/london__tfl-unified-api__page.json,
tfl-roads-open-data,london,TfL Roads open data file service,Transport for London,traffic/transport,discovery_catalog_source,https://roads.data.tfl.gov.uk/,https://roads.data.tfl.gov.uk/,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Road link/junction/count site/signal/site coordinates depending file.,From real-time feeds to annual/periodic datasets.,2026-04-28T12:18:46.277791+00:00,,,Directory-style service; metadata inconsistent; some files large/proprietary formats; historic retention varies.,raw_metadata/london__tfl-roads-open-data__page.json,
tfl-cycling-data,london,TfL Cycling open data,Transport for London,traffic/transport,discovery_catalog_source,https://cycling.data.tfl.gov.uk/,https://cycling.data.tfl.gov.uk/,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Hire docking station/trip; cycle count site; route/infrastructure segment where available.,Trip timestamp; daily/monthly aggregates; count interval varies.,2026-04-28T12:18:46.277792+00:00,,,Cycle hire covers Santander/e-bike scheme not all cycling; infrastructure definitions change; station names/IDs can change.,raw_metadata/london__tfl-cycling-data__page.json,
tfl-road-disruptions,london,TfL Road disruptions / planned works API,Transport for London,events/street closures,discovery_catalog_source,https://api.tfl.gov.uk/Road,https://api.tfl.gov.uk/Road/all/Disruption,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,TfL road corridor/streetworks location and affected streets.,Start/end time for disruption where supplied.,2026-04-28T12:18:46.277794+00:00,,,Live API; historic closures must be archived by user; borough roads may be incomplete.,raw_metadata/london__tfl-road-disruptions__page.json,
dft-road-traffic-counts,london,Road traffic statistics - count points and annual average daily flow,Department for Transport,traffic/transport,discovery_catalog_source,https://roadtraffic.dft.gov.uk/downloads,https://roadtraffic.dft.gov.uk/downloads,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Count point/road link; local authority; road class.,Annual AADF and raw counts for selected days.,2026-04-28T12:18:46.277795+00:00,,,AADF estimates not continuous sensors; minor roads sample-based; count locations may move/reclassify.,raw_metadata/london__dft-road-traffic-counts__page.json,
dft-naei-traffic-emissions-context,london,DfT transport statistics and road network/open data,Department for Transport,traffic/transport,discovery_catalog_source,https://www.gov.uk/government/organisations/department-for-transport/about/statistics,Statistical tables/downloads,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,"National, region, local authority, road class/mode.",Annual/quarterly/monthly depending table.,2026-04-28T12:18:46.277797+00:00,,,"Often aggregate, not street-level; definitions/table numbers change.",raw_metadata/london__dft-naei-traffic-emissions-context__page.json,
ons-census-api,london,ONS Census 2021 and historic census data,Office for National Statistics,demographics,discovery_catalog_source,https://www.ons.gov.uk/census,https://api.beta.ons.gov.uk/v1/ ; https://www.ons.gov.uk/datasets,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,OA/LSOA/MSOA/ward/borough and custom tables where available.,Census day/decennial.,2026-04-28T12:18:46.277799+00:00,,,Boundary changes and disclosure control; variable definitions differ across censuses; 2021 pandemic context.,raw_metadata/london__ons-census-api__page.json,
nomis-labour-market,london,Nomis official labour market statistics,ONS / Nomis,demographics/economy,discovery_catalog_source,https://www.nomisweb.co.uk/,https://www.nomisweb.co.uk/api/v01/help,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,"Local authority, parliamentary constituency, ward/MSOA for some datasets.",Monthly/quarterly/annual/census.,2026-04-28T12:18:46.277801+00:00,,,API requires dataset-specific queries; suppression and geography changes; not building/street-level.,raw_metadata/london__nomis-labour-market__page.json,
ons-geoportal-boundaries,london,ONS Open Geography Portal boundary downloads,Office for National Statistics Geography,imagery/basemaps,discovery_catalog_source,https://geoportal.statistics.gov.uk/,ArcGIS REST services via geoportal item pages,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,"OA, LSOA, MSOA, wards, LAD, regions, parishes and lookups.",Boundary release/vintage year.,2026-04-28T12:18:46.277803+00:00,,,Not observational data; boundary harmonisation needed for time-series.,raw_metadata/london__ons-geoportal-boundaries__page.json,
gla-population-projections,london,GLA population projections,Greater London Authority City Intelligence / London Datastore,demographics,discovery_catalog_source,https://data.london.gov.uk/dataset/projections,London Datastore downloadable CSV/XLS resources,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,"Borough, ward, MSOA/LSOA depending projection series.",Annual age/sex/population estimates/projections.,2026-04-28T12:18:46.277804+00:00,,,"Modelled projections, not observations; superseded runs differ; scenario assumptions matter.",raw_metadata/london__gla-population-projections__page.json,
gla-economics-datastore,london,"London Datastore economy datasets (employment, GVA, town centres, high streets)",Greater London Authority / London Datastore,economy,discovery_catalog_source,https://data.london.gov.uk/,"Search datasets: 'employment', 'GVA', 'High Streets Data Service'","Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,"London, borough, town centre/high street, MSOA/LSOA for selected products.",Annual/quarterly/monthly depending dataset.,2026-04-28T12:18:46.277807+00:00,,,Mixed sources and licences; high-street indicators may be modelled/commercial-derived; historical consistency varies.,raw_metadata/london__gla-economics-datastore__page.json,
ons-business-demography,london,ONS business demography and UK Business Counts,Office for National Statistics / Nomis,economy,discovery_catalog_source,https://www.ons.gov.uk/businessindustryandtrade/business/activitysizeandlocation,Nomis API for UK Business Counts; ONS downloads,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Local authority; MSOA/ward for some business counts; industry/SIC and size bands.,Annual.,2026-04-28T12:18:46.277809+00:00,,,Register-based enterprises/local units; disclosure suppression; SIC classification changes.,raw_metadata/london__ons-business-demography__page.json,
gla-laei,london,London Atmospheric Emissions Inventory (LAEI),Greater London Authority,environment,discovery_catalog_source,https://data.london.gov.uk/dataset/london-atmospheric-emissions-inventory--laei--2019,London Datastore downloadable GIS/gridded tables for LAEI vintages,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Grid cells/road links/borough/source sector depending release.,Inventory year; sometimes annual emissions by source.,2026-04-28T12:18:46.277810+00:00,,,Modelled inventory not direct measurements; methodology changes by vintage; large downloads.,raw_metadata/london__gla-laei__page.json,
defra-uk-air,london,UK-AIR air quality monitoring data,"Department for Environment, Food and Rural Affairs",environment,discovery_catalog_source,https://uk-air.defra.gov.uk/data/,https://uk-air.defra.gov.uk/sos-ukair/api/v1/ (where available) and downloadable archives,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Monitoring station point; pollutant.,Hourly/daily/monthly/annual depending pollutant/station.,2026-04-28T12:18:46.277812+00:00,,,Station coverage changes; not complete spatial surface; calibration/status flags needed.,raw_metadata/london__defra-uk-air__page.json,
environment-agency-flood-water,london,"Environment Agency flood, river and environmental data services",Environment Agency / DEFRA,environment,discovery_catalog_source,https://environment.data.gov.uk/,https://environment.data.gov.uk/flood-monitoring/doc/reference ; https://environment.data.gov.uk/arcgis/rest/services/,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Gauge/station point; flood zone polygons; river/waterbody features.,15-minute/hourly live readings; dataset release vintage for polygons.,2026-04-28T12:18:46.277814+00:00,,,Some APIs live/current; historic hydrology may need bulk archives; flood risk maps are modelled.,raw_metadata/london__environment-agency-flood-water__page.json,
natural-england-open-data,london,Natural England Open Data Geoportal,Natural England / DEFRA,environment,discovery_catalog_source,https://naturalengland-defra.opendata.arcgis.com/,ArcGIS REST services exposed from item pages,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,"Site polygon/line/point (SSSI, Local Nature Reserves, National Character Areas, etc.).",Designation/update dates where present; otherwise release vintage.,2026-04-28T12:18:46.277815+00:00,,,Mostly current designations; not full local parks inventory; attribute completeness varies.,raw_metadata/london__natural-england-open-data__page.json,
met-office-haduk-grid,london,HadUK-Grid climate observations,Met Office,environment,discovery_catalog_source,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/haduk-grid,CEDA/archive downloads; Met Office pages,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,1km/5km/12km grid depending product and variable.,Daily/monthly/seasonal/annual.,2026-04-28T12:18:46.277817+00:00,,,"Gridded interpolation, not city sensor network; licence/access via CEDA may be needed; urban heat island not fully resolved.",raw_metadata/london__met-office-haduk-grid__page.json,
environment-agency-lidar,london,National LIDAR Programme data,Environment Agency,imagery/basemaps,discovery_catalog_source,https://environment.data.gov.uk/survey,https://environment.data.gov.uk/survey,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Raster tiles (DSM/DTM) at 25cm/50cm/1m/2m resolutions where available.,Survey/acquisition date per tile.,2026-04-28T12:18:46.277819+00:00,,,Patchy dates/resolutions; elevation not imagery; urban canyons and water/vegetation artefacts.,raw_metadata/london__environment-agency-lidar__page.json,
police-data-api,london,Police.uk crime and outcomes API,Home Office / Police.uk / Metropolitan Police Service data contributors,public services,discovery_catalog_source,https://data.police.uk/docs/,https://data.police.uk/api/,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Approximate crime location point/street; neighbourhood; force.,Monthly.,2026-04-28T12:18:46.277821+00:00,,,Locations anonymised/blurred; underreporting; category/force boundary changes; API rate constraints.,raw_metadata/london__police-data-api__page.json,
nhs-ods-api,london,NHS Organisation Data Service (ODS),NHS England,public services,discovery_catalog_source,https://digital.nhs.uk/services/organisation-data-service,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Health organisation/site address and code; postcode coordinates via lookup needed.,Publication month; open/close/change dates for some records.,2026-04-28T12:18:46.277823+00:00,,,Not all service capacity/activity; geocoding required; organisational restructures complicate history.,raw_metadata/london__nhs-ods-api__page.json,
dfe-gias,london,Get Information About Schools (GIAS),Department for Education,public services,discovery_catalog_source,https://get-information-schools.service.gov.uk/Downloads,Downloadable CSV extracts,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,"School/establishment address, postcode, local authority, phase/type.",Open/close/status dates; extract date.,2026-04-28T12:18:46.277824+00:00,,,Current-state downloads overwrite history unless snapshots stored; coordinates need geocoding; independent/early-years coverage limitations.,raw_metadata/london__dfe-gias__page.json,
london-fire-brigade-incidents,london,London Fire Brigade incident records,London Fire Brigade / London Datastore,public services,discovery_catalog_source,https://data.london.gov.uk/dataset/london-fire-brigade-incident-records,Downloadable CSV resources on London Datastore,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Incident location generally postcode/ward/borough/station ground; incident type.,Incident timestamp/date and response times.,2026-04-28T12:18:46.277826+00:00,,,Sensitive location generalisation; schema updates; operational context needed for causal interpretation.,raw_metadata/london__london-fire-brigade-incidents__page.json,
camden-open-data-planning-licensing,london,Camden Open Data (borough exemplar for planning/licensing/highways/local assets),London Borough of Camden,borough/local services,discovery_catalog_source,https://opendata.camden.gov.uk/,Socrata API endpoints per dataset,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Address/asset/street/ward/point or polygon depending dataset.,Daily/monthly/event date depending dataset.,2026-04-28T12:18:46.277830+00:00,,,Single-borough exemplar; Socrata schemas vary; not London-wide without harvesting all borough portals.,raw_metadata/london__camden-open-data-planning-licensing__page.json,
lldc-planning-authority,london,LLDC Planning Authority planning register and policy,London Legacy Development Corporation,planning/development/policy,discovery_catalog_source,https://www.londonlegacy.co.uk/queen-elizabeth-olympic-park/planning-authority/,Planning register/policy document pages; downloadable policy evidence where available,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Application/site within LLDC boundary; policy sub-areas.,Application dates; policy adoption/review dates.,2026-04-28T12:18:46.277832+00:00,,,Special planning authority area only; website availability/timeouts observed; data may be document/register rather than API.,raw_metadata/london__lldc-planning-authority__page.json,
national-archives-webarchive,london,UK Government Web Archive for superseded London/TfL/borough policy pages,The National Archives,policy/history,discovery_catalog_source,https://www.nationalarchives.gov.uk/webarchive/,Memento/CDX-style access via webarchive search and snapshots,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Document/page level; not GIS.,Snapshot/crawl date.,2026-04-28T12:18:46.277834+00:00,,,Capture gaps; dynamic downloads may be missing; not structured data without scraping/OCR.,raw_metadata/london__national-archives-webarchive__page.json,
legislation-uk-london-acts-orders,london,"UK legislation API for London transport, planning and local government instruments",The National Archives / legislation.gov.uk,policy,discovery_catalog_source,https://www.legislation.gov.uk/,https://www.legislation.gov.uk/data.xml ; per-document XML/RDF/HTML endpoints,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Legal instrument/jurisdiction; not GIS without interpretation.,Made/commencement/revision dates.,2026-04-28T12:18:46.277836+00:00,,,Legal text requires parsing; local traffic orders often not held; spatial extents embedded in schedules/maps.,raw_metadata/london__legislation-uk-london-acts-orders__page.json,
lon-extra-hm-land-registry-inspire-index-polygons,london,HM Land Registry INSPIRE Index Polygons,HM Land Registry,parcels/land ownership/basemap,spatial download/WFS,https://use-land-property-data.service.gov.uk/datasets/inspire,,Requires source-level review before redistribution; official/open source terms vary by publisher.,,,registered title extent polygon,varies by source/vintage,2026-04-28T12:56:37.631412+00:00,,,Not legal boundary; no owner names in open product. Value: parcel-like layer for redevelopment-site tracking,raw_metadata/london__lon-extra-hm-land-registry-inspire-index-polygons__page.json,
lon-extra-hm-land-registry-price-paid-data,london,HM Land Registry Price Paid Data,HM Land Registry,housing/property market/economy,bulk CSV/API,https://www.gov.uk/government/statistical-data-sets/price-paid-data-downloads,,Requires source-level review before redistribution; official/open source terms vary by publisher.,,,address/transaction,varies by source/vintage,2026-04-28T12:56:37.631412+00:00,,,Needs geocoding; excludes some transfers. Value: longitudinal sale-price signal for neighbourhood change,raw_metadata/london__lon-extra-hm-land-registry-price-paid-data__page.json,
lon-extra-uk-house-price-index,london,UK House Price Index,HM Land Registry,housing/property market/economy,linked data/API/CSV,https://landregistry.data.gov.uk/app/ukhpi,,Requires source-level review before redistribution; official/open source terms vary by publisher.,,,local authority/region,varies by source/vintage,2026-04-28T12:56:37.631412+00:00,,,"Aggregated, not parcel level. Value: borough-level house price trend baseline",raw_metadata/london__lon-extra-uk-house-price-index__page.json,
lon-extra-voa-non-domestic-rating-list-business-floorspace,london,VOA Non-Domestic Rating List / business floorspace,Valuation Office Agency,economy/commercial property/buildings,bulk CSV/statistics,https://www.gov.uk/government/collections/non-domestic-rating-business-floorspace,,Requires source-level review before redistribution; official/open source terms vary by publisher.,,,hereditament/address/LA,varies by source/vintage,2026-04-28T12:56:37.631412+00:00,,,Geocoding required; rateable value is not rent. Value: commercial premises and floorspace change,raw_metadata/london__lon-extra-voa-non-domestic-rating-list-business-floorspace__page.json,
lon-extra-planning-data-brownfield-land,london,Planning Data: Brownfield Land,DLUHC Planning Data,planning/development/brownfield,API/geospatial entities,https://www.planning.data.gov.uk/entity.json?dataset=brownfield-land,,Requires source-level review before redistribution; official/open source terms vary by publisher.,,,site polygon/point,varies by source/vintage,2026-04-28T12:56:37.631412+00:00,,,Completeness varies by borough. Value: redevelopment pipeline and land availability,raw_metadata/london__lon-extra-planning-data-brownfield-land__page.json,
lon-extra-planning-data-conservation-areas,london,Planning Data: Conservation Areas,DLUHC Planning Data,heritage/planning constraints/boundaries,API/geospatial entities,https://www.planning.data.gov.uk/entity.json?dataset=conservation-area,,Requires source-level review before redistribution; official/open source terms vary by publisher.,,,conservation area polygon,varies by source/vintage,2026-04-28T12:56:37.631412+00:00,,,Completeness/geometry quality varies. Value: heritage constraints shaping development,raw_metadata/london__lon-extra-planning-data-conservation-areas__page.json,
lon-extra-planning-data-conservation-area-documents,london,Planning Data: Conservation Area Documents,DLUHC Planning Data,heritage/planning policy/source provenance,API/documents,https://www.planning.data.gov.uk/entity.json?dataset=conservation-area-document,,Requires source-level review before redistribution; official/open source terms vary by publisher.,,,document linked to conservation area,varies by source/vintage,2026-04-28T12:56:37.631412+00:00,,,Documents vary in age/machine readability. Value: policy text for character-change evidence,raw_metadata/london__lon-extra-planning-data-conservation-area-documents__page.json,
lon-extra-planning-data-listed-building-outlines,london,Planning Data: Listed Building Outlines,DLUHC Planning Data,heritage/buildings,API/geospatial entities,https://www.planning.data.gov.uk/entity.json?dataset=listed-building-outline,,Requires source-level review before redistribution; official/open source terms vary by publisher.,,,building outline polygon,varies by source/vintage,2026-04-28T12:56:37.631412+00:00,,,Incomplete; NHLE remains authoritative. Value: spatial outlines for listed assets,raw_metadata/london__lon-extra-planning-data-listed-building-outlines__page.json,
lon-extra-planning-data-heritage-at-risk,london,Planning Data: Heritage at Risk,DLUHC Planning Data,heritage/environment/risk,API/geospatial entities,https://www.planning.data.gov.uk/entity.json?dataset=heritage-at-risk,,Requires source-level review before redistribution; official/open source terms vary by publisher.,,,asset record/geometry varies,varies by source/vintage,2026-04-28T12:56:37.631412+00:00,,,Geometry and completeness vary. Value: vulnerable historic assets,raw_metadata/london__lon-extra-planning-data-heritage-at-risk__page.json,
lon-extra-planning-data-article-4-directions,london,Planning Data: Article 4 Directions,DLUHC Planning Data,planning controls/policy,API/legal instruments,https://www.planning.data.gov.uk/entity.json?dataset=article-4-direction,,Requires source-level review before redistribution; official/open source terms vary by publisher.,,,direction area/document,varies by source/vintage,2026-04-28T12:56:37.631412+00:00,,,Completeness depends on LPA publication. Value: permitted-development restrictions,raw_metadata/london__lon-extra-planning-data-article-4-directions__page.json,
lon-extra-planning-data-tree-preservation-orders,london,Planning Data: Tree Preservation Orders,DLUHC Planning Data,trees/planning constraints/environment,API/legal instruments,https://www.planning.data.gov.uk/entity.json?dataset=tree-preservation-order,,Requires source-level review before redistribution; official/open source terms vary by publisher.,,,TPO record,varies by source/vintage,2026-04-28T12:56:37.631412+00:00,,,Geometry/detail varies. Value: protected-tree constraints,raw_metadata/london__lon-extra-planning-data-tree-preservation-orders__page.json,
lon-extra-planning-data-tree-preservation-zones,london,Planning Data: Tree Preservation Zones,DLUHC Planning Data,trees/planning constraints/environment,API/geospatial entities,https://www.planning.data.gov.uk/entity.json?dataset=tree-preservation-zone,,Requires source-level review before redistribution; official/open source terms vary by publisher.,,,TPO zone polygon,varies by source/vintage,2026-04-28T12:56:37.631412+00:00,,,Incomplete by borough. Value: protected tree zone polygons,raw_metadata/london__lon-extra-planning-data-tree-preservation-zones__page.json,
lon-extra-planning-data-protected-trees,london,Planning Data: Protected Trees,DLUHC Planning Data,trees/planning constraints/environment,API/geospatial entities,https://www.planning.data.gov.uk/entity.json?dataset=tree,,Requires source-level review before redistribution; official/open source terms vary by publisher.,,,individual tree/point,varies by source/vintage,2026-04-28T12:56:37.631412+00:00,,,Not a full street-tree inventory. Value: protected individual trees,raw_metadata/london__lon-extra-planning-data-protected-trees__page.json,
lon-extra-planning-data-local-plan-boundaries,london,Planning Data: Local Plan Boundaries,DLUHC Planning Data,planning policy/boundaries,API/geospatial entities,https://www.planning.data.gov.uk/entity.json?dataset=local-plan-boundary,,Requires source-level review before redistribution; official/open source terms vary by publisher.,,,plan boundary polygon,varies by source/vintage,2026-04-28T12:56:37.631412+00:00,,,Not full policy map. Value: align changes to statutory plan geographies,raw_metadata/london__lon-extra-planning-data-local-plan-boundaries__page.json,
lon-extra-planning-data-local-plans,london,Planning Data: Local Plans,DLUHC Planning Data,planning policy/source provenance,API/documents/metadata,https://www.planning.data.gov.uk/entity.json?dataset=local-plan,,Requires source-level review before redistribution; official/open source terms vary by publisher.,,,plan/document,varies by source/vintage,2026-04-28T12:56:37.631412+00:00,,,Policy content often in PDFs. Value: borough planning-policy timeline,raw_metadata/london__lon-extra-planning-data-local-plans__page.json,
lon-extra-planning-data-developer-agreements,london,Planning Data: Developer Agreements,DLUHC Planning Data,planning obligations/development,API/legal records,https://www.planning.data.gov.uk/entity.json?dataset=developer-agreement,,Requires source-level review before redistribution; official/open source terms vary by publisher.,,,agreement/site record,varies by source/vintage,2026-04-28T12:56:37.631412+00:00,,,Early/incomplete; documents may be PDFs. Value: S106/planning obligation evidence,raw_metadata/london__lon-extra-planning-data-developer-agreements__page.json,
